epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.376,1.44094,3.24119,1.45962,0.34843,0.44254,0.36903,0.21612,1.35202,3.23205,1.31244,0.000413411,0.000413411,0.000413411
2,850.524,1.37047,2.52273,1.34013,0.66483,0.47579,0.52117,0.28044,1.56469,2.80589,1.41443,0.000802686,0.000802686,0.000802686
3,1296.2,1.3681,2.19046,1.32988,0.79469,0.60192,0.7251,0.42555,1.40426,2.98382,1.29497,0.00116446,0.00116446,0.00116446
4,1857.07,1.27393,1.94891,1.28922,0.65969,0.66399,0.74326,0.43667,1.32,2.11005,1.2448,0.00112625,0.00112625,0.00112625
5,2347.69,1.27487,1.74786,1.2607,0.55553,0.70352,0.74517,0.48732,1.26455,1.82257,1.21331,0.001085,0.001085,0.001085
6,2843.75,1.3014,1.64792,1.26938,0.56024,0.78042,0.77699,0.47171,1.27194,1.6009,1.19063,0.00104375,0.00104375,0.00104375
7,3362.55,1.273,1.56411,1.24903,0.94511,0.66341,0.81141,0.50044,1.21492,1.56095,1.17207,0.0010025,0.0010025,0.0010025
8,3878.55,1.16957,1.40717,1.2029,0.75784,0.77583,0.81718,0.55043,1.1352,1.42098,1.14879,0.00096125,0.00096125,0.00096125
9,4396.29,1.12386,1.30815,1.174,0.78631,0.67093,0.78602,0.49557,1.24811,1.43813,1.18161,0.00092,0.00092,0.00092
10,4750.66,1.11926,1.27173,1.19046,0.77225,0.82817,0.84594,0.57417,1.16966,1.16783,1.16488,0.00087875,0.00087875,0.00087875
11,5083.48,1.09711,1.16091,1.16895,0.72654,0.7859,0.83063,0.56652,1.08157,1.19609,1.13342,0.0008375,0.0008375,0.0008375
12,5405.71,1.0707,1.17585,1.16789,0.8283,0.76237,0.87015,0.57128,1.27574,1.23212,1.21064,0.00079625,0.00079625,0.00079625
13,5734.54,1.0807,1.14069,1.17918,0.77578,0.88725,0.88437,0.62188,1.08347,1.06785,1.1308,0.000755,0.000755,0.000755
14,6067.35,1.08515,1.12723,1.18407,0.80822,0.85851,0.88253,0.63168,1.07853,1.05114,1.1083,0.00071375,0.00071375,0.00071375
15,6397.1,1.0073,1.00705,1.1241,0.81116,0.87069,0.86577,0.58539,1.16116,1.08778,1.16697,0.0006725,0.0006725,0.0006725
16,6728.77,1.01473,1.03678,1.15221,0.86253,0.84432,0.88941,0.58962,1.10245,0.98619,1.1107,0.00063125,0.00063125,0.00063125
17,7058.4,1.00517,0.99022,1.13841,0.83957,0.87831,0.90194,0.62894,1.13131,0.94222,1.13113,0.00059,0.00059,0.00059
18,7393.24,0.99731,0.97968,1.14094,0.79733,0.82508,0.88177,0.61826,1.09552,1.10187,1.14004,0.00054875,0.00054875,0.00054875
19,7725.59,0.9494,0.90818,1.11402,0.81236,0.86935,0.89206,0.63741,1.05759,0.98074,1.1202,0.0005075,0.0005075,0.0005075
20,8055.97,0.93591,0.85772,1.10108,0.90538,0.89417,0.93181,0.68229,1.00486,0.87581,1.09726,0.00046625,0.00046625,0.00046625
21,8382.46,0.87546,0.84658,1.0747,0.89968,0.90881,0.92779,0.67178,1.0527,0.84476,1.09801,0.000425,0.000425,0.000425
22,8709.71,0.87432,0.77347,1.07264,0.83158,0.85307,0.89189,0.65734,1.03929,0.9591,1.09598,0.00038375,0.00038375,0.00038375
23,9032.51,0.86905,0.7388,1.08683,0.84951,0.89192,0.91735,0.67573,1.0039,0.83182,1.06833,0.0003425,0.0003425,0.0003425
24,9355.15,0.8232,0.71734,1.04602,0.89933,0.89014,0.91923,0.66594,1.01943,0.78458,1.09548,0.00030125,0.00030125,0.00030125
25,9852.14,0.81036,0.67123,1.04736,0.87306,0.89831,0.92219,0.67956,1.01064,0.78201,1.08465,0.00026,0.00026,0.00026
26,10321.2,0.77558,0.63352,1.03164,0.8804,0.89625,0.92539,0.69301,0.99073,0.77343,1.06699,0.00021875,0.00021875,0.00021875
27,10802.1,0.77951,0.6138,1.03339,0.8921,0.92194,0.93705,0.70836,0.99092,0.73492,1.07973,0.0001775,0.0001775,0.0001775
28,11244,0.7211,0.58543,0.99763,0.90099,0.91714,0.94044,0.70562,0.97552,0.71854,1.06706,0.00013625,0.00013625,0.00013625
29,11700.8,0.70586,0.56227,0.98653,0.91869,0.904,0.94433,0.71995,0.96289,0.69824,1.07248,9.5e-05,9.5e-05,9.5e-05
30,12158.2,0.70453,0.54519,0.98986,0.91534,0.91673,0.94291,0.72106,0.96584,0.70296,1.07682,5.375e-05,5.375e-05,5.375e-05
